Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
20,3.8922,40.94520005
20.2,4.3452,44.74464238
20.4,4.1904,42.24914647
20.6,3.2713,32.30119537
20.8,2.8503,27.5693204
21,2.8914,27.40182463
21.2,3.8112,35.39684654
21.4,4.3635,39.72485443
21.6,4.9262,43.96977205
21.8,4.276,37.42678415
22,4.5897,39.40189539
22.2,5.3023,44.65479589
22.4,3.1134,25.72707777
22.6,4.1206,33.41536879
22.8,5.7301,45.60943433
23,5.696,44.50855879
23.2,4.6087,35.35944743
23.4,5.954,44.86006021
23.6,6.2282,46.08995018
23.8,6.0163,43.73536352
24,4.8558,34.68077572
24.2,6.8508,48.07923926
24.4,6.8314,47.11684789
24.6,6.8382,46.35738251
24.8,8.4605,56.38227732
25,6.787,44.46838327
25.2,6.4415,41.4991415
25.4,7.3753,46.72617766
25.6,11.28,70.28654896
25.8,9.4469,57.90193901
26,12.098,72.94910524
26.2,9.4263,55.9262628
26.4,9.38,54.76644111
26.6,11.577,66.529935
26.8,13.261,75.020863
27,17.097,95.23326233
27.2,14.934,81.9198013
27.4,16.47,88.98851916
27.6,19.274,102.5949529
27.8,17.753,93.11681723
28,18.379,95.01040271
28.2,21.666,110.4113462
28.4,24.254,121.8705502
28.6,27.097,134.2807167
28.8,30.966,151.3743938
29,30.782,148.4669002
29.2,34.581,164.5937328
29.4,39.608,186.0656561
29.6,40.295,186.850524
29.8,46.72,213.868242
30,53.638,242.4071425
30.2,54.853,244.7559021
30.4,63.384,279.261748
30.6,71.198,309.7683966
30.8,80.752,346.9748661
31,80.541,341.8019329
31.2,86.942,364.4489425
31.4,96.862,401.0941604
31.6,104.13,425.9811262
31.8,123.35,498.5519901
32,133.13,531.6658557
32.2,143.47,566.173722
32.4,153.98,600.4992222
32.6,177.7,684.9018904
32.8,187.77,715.3074747
33,197.34,743.0870012
33.2,208.63,776.58894
33.4,227.15,835.8889245
33.6,238.35,867.168373
33.8,254.19,914.3865268
34,277.07,985.5398157
34.2,295.64,1039.898623
34.4,307.83,1070.807305
34.6,334.34,1150.244966
34.8,366.38,1246.705999
35,386.37,1300.451838
35.2,407.84,1357.992954
35.4,424.94,1400.031965
35.6,442.85,1443.948185
35.8,480.65,1551.267845
36,505.93,1616.537581
36.2,530.02,1676.858029
36.4,559.28,1752.305056
36.6,580.85,1802.541276
36.8,620.8,1908.424247
37,634.72,1933.149586
37.2,686.4,2071.455667
37.4,708.46,2118.755647
37.6,737.35,2185.52413
37.8,758.94,2229.729475
38,803.99,2341.541779
38.2,844.33,2437.873175
38.4,878.98,2516.309415
38.6,903.78,2565.488018
38.8,929.42,2616.225257
39,971.07,2710.820808
39.2,997.4,2761.441253
39.4,1031.9,2833.655387
39.6,1081.3,2945.257369
39.8,1107.7,2992.880617
40,1127.1,3020.928222
40.2,1188.7,3160.805707
40.4,1224,3229.299594
40.6,1242.4,3252.688542
40.8,1283,3333.600114
41,1320.1,3404.47506
41.2,1353.2,3464.267881
41.4,1389.1,3530.513165
41.6,1436.2,3624.280717
41.8,1453.8,3643.01493
42,1483.4,3691.55907
42.2,1535.6,3795.507844
42.4,1563.5,3838.61025
42.6,1608.8,3923.790149
42.8,1614.3,3911.631525
43,1654.5,3983.382445
43.2,1672.3,4000.844964
43.4,1716.2,4080.352583
43.6,1742.4,4117.267682
43.8,1795.7,4217.595186
44,1840.8,4297.790693
44.2,1841,4273.039756
44.4,1867,4308.32225
44.6,1906.7,4374.842978
44.8,1953.7,4457.476447
45,1950.9,4426.40785
45.2,1966.7,4437.856689
45.4,1988.5,4462.850497
45.6,2022.4,4514.79049
45.8,2046.3,4544.17703
46,2056.2,4542.528547
46.2,2105.3,4627.250956
46.4,2117.2,4629.962722
46.6,2127.7,4629.795032
46.8,2152.6,4661.000184
47,2166,4667.311065
47.2,2190.6,4697.766654
47.4,2201.7,4699.304461
47.6,2207.1,4688.90066
47.8,2226.3,4707.954658
48,2240,4715.433758
48.2,2244.7,4704.158736
48.4,2266.1,4727.997804
48.6,2265.4,4705.888711
48.8,2295.9,4748.668422
